METHOD,SIZE,TIME
CUBLAS,4096 x 4096, 136446
CUDA CORE,4096 x 4096, 26002558
CUTENSOR,4096 x 4096, 21641
CUBLAS,4096 x 4096, 141925
CUDA CORE,4096 x 4096, 27591412
CUTENSOR,4096 x 4096, 22638
CUBLAS,4096 x 4096, 139064
CUDA CORE,4096 x 4096, 29061109
CUTENSOR,4096 x 4096, 21777
CUBLAS,4096 x 4096, 139955
CUDA CORE,4096 x 4096, 28327584
CUTENSOR,4096 x 4096, 41923
CUBLAS,4096 x 4096, 180172
CUDA CORE,4096 x 4096, 26238589
CUTENSOR,4096 x 4096, 21855
CUBLAS,4096 x 4096, 137188
CUDA CORE,4096 x 4096, 29489138
CUTENSOR,4096 x 4096, 23323
CUBLAS,4096 x 4096, 134857
CUDA CORE,4096 x 4096, 26099263
CUTENSOR,4096 x 4096, 21225
CUBLAS,4096 x 4096, 157852
CUDA CORE,4096 x 4096, 29133177
CUTENSOR,4096 x 4096, 22364
CUBLAS,4096 x 4096, 135853
CUDA CORE,4096 x 4096, 26181153
CUTENSOR,4096 x 4096, 54881
CUBLAS,4096 x 4096, 139853
CUDA CORE,4096 x 4096, 26090004
CUTENSOR,4096 x 4096, 22438
CUBLAS,4096 x 4096, 140222
CUDA CORE,4096 x 4096, 28304920
CUTENSOR,4096 x 4096, 22039
CUBLAS,4096 x 4096, 183090
CUDA CORE,4096 x 4096, 26136038
CUTENSOR,4096 x 4096, 21408
CUBLAS,4096 x 4096, 139411
CUDA CORE,4096 x 4096, 29297116
CUTENSOR,4096 x 4096, 22667
CUBLAS,4096 x 4096, 152616
CUDA CORE,4096 x 4096, 28147386
CUTENSOR,4096 x 4096, 22336
CUBLAS,4096 x 4096, 137655
CUDA CORE,4096 x 4096, 26059375
CUTENSOR,4096 x 4096, 22226
CUBLAS,4096 x 4096, 140261
CUDA CORE,4096 x 4096, 29061766
CUTENSOR,4096 x 4096, 22321
CUBLAS,4096 x 4096, 139434
CUDA CORE,4096 x 4096, 27336983
CUTENSOR,4096 x 4096, 21515
CUBLAS,4096 x 4096, 177251
CUDA CORE,4096 x 4096, 26230442
CUTENSOR,4096 x 4096, 22149
CUBLAS,4096 x 4096, 141550
CUDA CORE,4096 x 4096, 29148840
CUTENSOR,4096 x 4096, 21885
CUBLAS,4096 x 4096, 134726
CUDA CORE,4096 x 4096, 28234219
CUTENSOR,4096 x 4096, 21313
CUBLAS,4096 x 4096, 121352
CUDA CORE,4096 x 4096, 25994390
CUTENSOR,4096 x 4096, 21710
CUBLAS,4096 x 4096, 138239
CUDA CORE,4096 x 4096, 29172140
CUTENSOR,4096 x 4096, 23692
CUBLAS,4096 x 4096, 138597
CUDA CORE,8192 x 8192, 79908561
CUTENSOR,8192 x 8192, 21431
CUBLAS,8192 x 8192, 144323
CUDA CORE,8192 x 8192, 62173248
CUTENSOR,8192 x 8192, 21405
CUBLAS,8192 x 8192, 149116
CUDA CORE,8192 x 8192, 61883123
CUTENSOR,8192 x 8192, 21782
CUBLAS,8192 x 8192, 156621
CUDA CORE,8192 x 8192, 61798212
CUTENSOR,8192 x 8192, 20930
CUBLAS,8192 x 8192, 180250
CUDA CORE,8192 x 8192, 62201045
CUTENSOR,8192 x 8192, 29119
CUBLAS,8192 x 8192, 150014
CUDA CORE,8192 x 8192, 62095181
CUTENSOR,8192 x 8192, 22295
CUBLAS,8192 x 8192, 219803
CUDA CORE,8192 x 8192, 61836438
CUTENSOR,8192 x 8192, 21671
CUBLAS,8192 x 8192, 144328
CUDA CORE,8192 x 8192, 61925752
CUTENSOR,8192 x 8192, 22156
CUBLAS,8192 x 8192, 150831
CUDA CORE,8192 x 8192, 62123724
CUTENSOR,8192 x 8192, 23029
CUBLAS,8192 x 8192, 174295
CUDA CORE,8192 x 8192, 62084476
CUTENSOR,8192 x 8192, 21531
CUBLAS,8192 x 8192, 149303
CUDA CORE,8192 x 8192, 61834272
CUTENSOR,8192 x 8192, 21502
CUBLAS,8192 x 8192, 145226
CUDA CORE,8192 x 8192, 62190448
CUTENSOR,8192 x 8192, 22163
CUBLAS,8192 x 8192, 145875
CUDA CORE,8192 x 8192, 61966181
CUTENSOR,8192 x 8192, 22348
CUBLAS,8192 x 8192, 159254
CUDA CORE,8192 x 8192, 62449973
CUTENSOR,8192 x 8192, 22951
CUBLAS,8192 x 8192, 142661
CUDA CORE,8192 x 8192, 62133320
CUTENSOR,8192 x 8192, 21448
CUBLAS,8192 x 8192, 152347
CUDA CORE,8192 x 8192, 62104337
CUTENSOR,8192 x 8192, 51000
CUBLAS,8192 x 8192, 146100
CUDA CORE,8192 x 8192, 63404629
CUTENSOR,8192 x 8192, 22460
CUBLAS,8192 x 8192, 183722
CUDA CORE,8192 x 8192, 62310267
CUTENSOR,8192 x 8192, 21144
CUBLAS,8192 x 8192, 148624
CUDA CORE,8192 x 8192, 62058203
CUTENSOR,8192 x 8192, 23513
CUBLAS,8192 x 8192, 148329
CUDA CORE,8192 x 8192, 61907805
CUTENSOR,8192 x 8192, 23567
CUBLAS,8192 x 8192, 153547
CUDA CORE,8192 x 8192, 67131571
CUTENSOR,8192 x 8192, 22604
CUBLAS,8192 x 8192, 145938
CUDA CORE,8192 x 8192, 62212087
CUTENSOR,8192 x 8192, 22551
CUBLAS,8192 x 8192, 145936
CUDA CORE,8192 x 8192, 61915990
CUTENSOR,8192 x 8192, 54669
CUBLAS,8192 x 8192, 147699
CUDA CORE,8192 x 8192, 62073239
CUTENSOR,8192 x 8192, 22471
CUBLAS,8192 x 8192, 147537
CUDA CORE,8192 x 8192, 61932102
CUTENSOR,8192 x 8192, 21751
CUBLAS,8192 x 8192, 149653
CUDA CORE,8192 x 8192, 63727936
CUTENSOR,8192 x 8192, 23730
CUBLAS,8192 x 8192, 147638
CUDA CORE,8192 x 8192, 62123729
CUTENSOR,8192 x 8192, 22973
CUBLAS,8192 x 8192, 146848
CUDA CORE,8192 x 8192, 62370370
CUTENSOR,8192 x 8192, 22507
CUBLAS,8192 x 8192, 160212
CUDA CORE,8192 x 8192, 61967183
CUTENSOR,8192 x 8192, 21703
CUBLAS,8192 x 8192, 145865
CUDA CORE,8192 x 8192, 62205216
CUTENSOR,8192 x 8192, 20914
CUBLAS,8192 x 8192, 145916
CUDA CORE,8192 x 8192, 62215612
CUTENSOR,8192 x 8192, 21335
CUBLAS,8192 x 8192, 143685
CUDA CORE,8192 x 8192, 61814165
CUTENSOR,8192 x 8192, 20465
CUBLAS,8192 x 8192, 180023
CUDA CORE,8192 x 8192, 61869143
CUTENSOR,8192 x 8192, 22251
CUBLAS,8192 x 8192, 147939
CUDA CORE,8192 x 8192, 62019513
CUTENSOR,8192 x 8192, 21841
CUBLAS,8192 x 8192, 149982
CUDA CORE,8192 x 8192, 61998097
CUTENSOR,8192 x 8192, 22834
CUBLAS,8192 x 8192, 144634
CUDA CORE,8192 x 8192, 63591151
CUTENSOR,8192 x 8192, 21070
CUBLAS,8192 x 8192, 145172
CUDA CORE,8192 x 8192, 62384385
CUTENSOR,8192 x 8192, 22284
CUBLAS,8192 x 8192, 178058
CUDA CORE,8192 x 8192, 62419156
CUTENSOR,8192 x 8192, 22241
CUBLAS,8192 x 8192, 146880
CUDA CORE,8192 x 8192, 62345015
CUTENSOR,8192 x 8192, 22441
CUBLAS,8192 x 8192, 146176
CUDA CORE,8192 x 8192, 61732813
CUTENSOR,8192 x 8192, 25906
CUBLAS,8192 x 8192, 150376
CUDA CORE,8192 x 8192, 62021083
CUTENSOR,8192 x 8192, 22339
CUBLAS,8192 x 8192, 149858
CUDA CORE,8192 x 8192, 63004406
CUTENSOR,8192 x 8192, 21603
CUBLAS,8192 x 8192, 155778
CUDA CORE,8192 x 8192, 62552189
CUTENSOR,8192 x 8192, 21514
CUBLAS,8192 x 8192, 147904
CUDA CORE,8192 x 8192, 62022587
CUTENSOR,8192 x 8192, 20624
CUBLAS,8192 x 8192, 161745
CUDA CORE,8192 x 8192, 64645204
CUTENSOR,8192 x 8192, 21594
CUBLAS,8192 x 8192, 147896
CUDA CORE,8192 x 8192, 62175657
CUTENSOR,8192 x 8192, 21869
CUBLAS,8192 x 8192, 146668
CUDA CORE,8192 x 8192, 63578693
CUTENSOR,8192 x 8192, 23258
CUBLAS,8192 x 8192, 147738
CUDA CORE,8192 x 8192, 61868370
CUTENSOR,8192 x 8192, 22416
CUBLAS,8192 x 8192, 147394
CUDA CORE,8192 x 8192, 62029088
CUTENSOR,8192 x 8192, 22416
CUBLAS,8192 x 8192, 147369
CUDA CORE,8192 x 8192, 63397678
CUTENSOR,8192 x 8192, 23281
CUBLAS,8192 x 8192, 146819
CUDA CORE,8192 x 8192, 62094757
CUTENSOR,8192 x 8192, 22793
CUBLAS,8192 x 8192, 148482
CUDA CORE,8192 x 8192, 62074456
CUTENSOR,8192 x 8192, 21760
CUBLAS,8192 x 8192, 146456
CUDA CORE,8192 x 8192, 62207972
CUTENSOR,8192 x 8192, 21481
CUBLAS,8192 x 8192, 148453
CUDA CORE,8192 x 8192, 62199874
CUTENSOR,8192 x 8192, 21595
CUBLAS,8192 x 8192, 147613
CUDA CORE,8192 x 8192, 62275669
CUTENSOR,8192 x 8192, 20824
CUBLAS,8192 x 8192, 143709
CUDA CORE,8192 x 8192, 62339496
CUTENSOR,8192 x 8192, 22091
CUBLAS,8192 x 8192, 189216
CUDA CORE,8192 x 8192, 61884520
CUTENSOR,8192 x 8192, 22482
CUBLAS,8192 x 8192, 179079
CUDA CORE,8192 x 8192, 62420572
CUTENSOR,8192 x 8192, 23134
CUBLAS,8192 x 8192, 149039
CUDA CORE,8192 x 8192, 63589221
CUTENSOR,8192 x 8192, 22107
CUBLAS,8192 x 8192, 204271
CUDA CORE,8192 x 8192, 62225450
CUTENSOR,8192 x 8192, 21056
CUBLAS,8192 x 8192, 196506
